"filename", "language", "PHP", "Markdown", "JSON", "JavaScript", "CSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\LICENSE.ZH-CN.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\README.md", "Markdown", 0, 198, 0, 0, 0, 0, 0, 0, 11, 209
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\admin.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\discuss.php", "PHP", 47, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\example\cookie.json", "JSON", 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\example\database\discusses.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\example\database\tokens.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\example\database\usergroups.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\example\database\users.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\example\permission.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\funcs.php", "PHP", 107, 0, 0, 0, 0, 0, 0, 12, 6, 125
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\funcs\errors.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\funcs\password.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 2, 2, 32
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\funcs\user.php", "PHP", 73, 0, 0, 0, 0, 0, 0, 10, 9, 92
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\hpm.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 7, 3, 61
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\index.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 4, 52
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\login.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 4, 70
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\index.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 26
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.avatar\disPage.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.avatar\document.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.avatar\index.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.avatar\info.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.avatar\setting.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.avatar\setup.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.avatar\space.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.image-verification\document.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.image-verification\index.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\田亚非\Documents\Code\Projects\HelloWorldDiscuss\plugins\normal-pcer.image-verification\info.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 9
